intersection,run,north,east,south,west,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950
roundabout-quick-right,1,10,10,10,10,0,7,6.4,4.75,6.75,7.285714,6.7,8.090909,6.666667,9.888889,4.5,7,8.6,11.33333,3,11,17,5.857143,8.428572,7.777778,12.83333,11.625,7.2,3,5,8.6,4,10.83333,3,11.66667,7.666667,5.111111,10.5,6.875,5.1,5.625,6.625,12.8,7.5,4.5,5,6.6,8.888889,9.333333,7.5,5.428571,7.857143,8.2,8.25,3,12.2,4,8.857142,4,6.625,9,10,4.5,6.222222,7.25,9.25,4,9.1,7.857143,7.4,10,8,6.666667,11.66667,2.333333,5.142857,6.25,7.666667,7.875,5.923077,8.9,7.166667,6.125,7.5,8.5,7.166667,5.714286,11.42857,10.5,5,5.6,8.285714,6.428571,10.83333,13.33333,2.428571,7.5,6.25,8.8,3.5,9.5
roundabout-quick-right,2,12,12,12,12,0,4,8.75,4.444445,9.666667,10.4,11.28571,6,8.285714,3.833333,9,4.4,5,10.28571,7,7,6,8.363636,8.272727,10.5,9.866667,9.888889,8.375,8.666667,7,8,9.5,6.857143,6.714286,9.9,7.333333,6,3.875,7.888889,13.5,3.4,7.9,6.714286,4.666667,6.888889,6.555555,7.375,7.2,5.375,9.222222,8.5,8.3,8.1,8,8,8.4,7.625,7.125,10.5,7.571429,5.4,10.4,6,10,7,7.636364,8.2,4.833333,8.125,8.571428,6.4,6.333333,5.928571,10.44444,8.166667,5,7.625,5.142857,8.1,7.333333,7.333333,5.285714,7.555555,12.28571,6.333333,8.166667,10.8,5.125,10.33333,7.6,5.4,9.6,10,8,8.428572,11.125,7.333333,2,6.3,10.55556,7.4
roundabout-quick-right,3,14,14,14,14,0,3.125,7.4,7,3.285714,8.375,8.166667,4,8.5,7.2,5.875,8.333333,5.375,7.6,7.666667,6.083333,9.714286,10.73333,9.545455,6.454545,7.5,6.363636,7.222222,8.142858,7.142857,7.285714,7.6,7.666667,4.5,6.714286,4.285714,7.8,8,4.285714,12.8,5,6.833333,12.25,6,11.2,5,10.375,11.5,6,7.181818,7.75,5.25,6.3,7.5,8.5,6.777778,8.333333,8.25,3.875,8.833333,7.8,6.333333,10,9.666667,6.636364,5.916667,8.333333,7.2,2.6,6.333333,6.9,6,10,11.25,6.666667,6.571429,5.777778,9.625,12,6.6,6.333333,10.8,3.833333,8,6.6,9.333333,8.111111,10.66667,9.333333,7.9,7.666667,6.545455,10.61539,7.8,10,3.125,7.444445,6.8,8.5,9.214286,9.846154
roundabout-quick-right,4,16,16,16,16,0,4.285714,8.071428,10.0625,10.625,8,9.538462,9.181818,7.444445,8.769231,5.888889,10.11111,6.9,11.1,6.384615,9.111111,6.2,8.692307,6,8.833333,8.166667,7.090909,10.28571,12.7,4.714286,8.4,6,7.5,5.75,9,4.9,8.833333,5.6,4.25,5.888889,8.272727,7.8,8.588235,12.54545,11.81818,8.769231,11.3,10,9.6,5.916667,8.538462,9.083333,8.083333,5.555555,8.666667,6.5,11.8,11.66667,9.444445,7.111111,5.857143,12.2,9.8,8.142858,8.666667,9.3,9.142858,8,7.25,5.777778,5.571429,7.882353,12.3,7.066667,10.75,10.25,13,12.83333,8.583333,9.4,10.14286,6.8,6.2,8,7.083333,8.818182,8.3,9.142858,8.125,7.5,11.2,7,6.666667,8.214286,9.333333,6.636364,8.7,10,9.333333,3.25,6.583333
roundabout-quick-right,5,18,18,18,18,0,3.666667,5.714286,7.818182,7.333333,7.909091,7,5.666667,6.5,9.2,7.1,7.214286,7.333333,8.1875,9.117647,13.2381,12.17647,17.75,9.230769,12.5,7.1,8.5,7.785714,6.5625,9.526316,8.714286,8.090909,7.6875,9.153846,7.2,11.33333,5.5,7,6.222222,7.909091,6.636364,7.545455,6.285714,5,9.055555,13.5,10.91667,7.583333,8,9.5,10.625,5.875,7.066667,11.81818,6.875,6.181818,7,8.5,5,7.666667,12.54545,7.166667,9.8125,11.42857,10.55556,8.111111,10.33333,6.857143,10.91667,7.875,8.1875,7.952381,12.75,13,7.666667,4.818182,6.4,8.25,9.9,7.636364,5.923077,7.466667,10.69231,12.375,7.25,6.875,7.7,6.692307,8.461538,9.066667,8.714286,9,11.57143,6,8,7.714286,7.75,6.666667,7,6.916667,8.444445
roundabout-quick-right,6,20,20,20,20,0,5.888889,6.75,6.428571,6.8,8.583333,9.571428,9.785714,9.272727,8.2,9.428572,8.333333,7.2,7,6.153846,7.692307,9.444445,4.636364,10.125,6,7.666667,6.235294,8.6875,10.33333,8.785714,5.692307,10.875,8.153846,8.384615,6.9375,9.352942,10,9.1,9,9.625,5.9,7.583333,6.692307,7.529412,7.333333,9.285714,9,8.363636,6.375,11.33333,8.333333,11,4.142857,6.769231,7.736842,12.16667,12.92308,6.285714,7.153846,8.416667,8.823529,10.33333,10.05556,8.375,9.714286,5.785714,8.133333,10,7,7.357143,7.444445,10.53333,8.615385,7.111111,6.090909,7.529412,8.736842,12,10.82353,9.777778,6.909091,9.666667,10.28571,9.6,9.909091,7.857143,7.375,8.916667,8.8,10.6,7.230769,7.538462,9.285714,11.45,15.2,10.3,9,6.727273,9.181818,11.61539,6.857143
roundabout-quick-right,7,22,22,22,22,0,4.75,6.9,7.357143,7.571429,8.631579,9,10.58333,7.5,8.5,8.111111,6.25,6.307693,8.571428,8.533334,9,12.66667,13.95,12.61905,12.1579,10.94444,12.5,9.75,11,6.533333,7.571429,8.722222,9.230769,8.533334,8.285714,8.666667,9.333333,6.083333,7.571429,7,4.538462,7.75,8,11.52941,13.88889,7.75,5.733333,7.882353,9.714286,5.454545,7.272727,6.823529,9.85,9.818182,7.357143,8.125,3.5,6.166667,8.294118,8.083333,6.923077,7.3,9.857142,9.538462,10.125,8.384615,7.9,9.952381,8.444445,9.846154,6.181818,7.363636,6.538462,6.1875,8.916667,7.545455,9.166667,7.833333,7.357143,7.571429,8.090909,6.153846,8.833333,7.357143,7.208333,11.83333,12.5,11.6875,8.285714,8.3125,7.4375,9.705882,10.64286,7,7.1875,6.9375,6.764706,9.875,9.4,8.058824,8.692307
roundabout-quick-right,8,24,24,24,24,0,4.5,6.818182,7.076923,7.421052,9,11.41177,8.133333,7.157895,10.5,9.25,8.619047,10.94737,11.44444,6.272727,8.875,5.705883,6.947369,9.25,9.045455,9.695652,11.83333,8.5,9.647058,9.333333,7.25,6.722222,7.875,7.666667,8.076923,9.714286,8.166667,11,12,7.416667,6.916667,8,8.928572,7.909091,6.363636,7.777778,7.727273,7.6,6.647059,11.46154,7.363636,5.571429,9.181818,9.071428,7.857143,11.07692,6.545455,8.285714,10.42857,6.818182,9.05,9.555555,8.7,7.428571,7.31579,9.05,10.92857,8.764706,9.625,8.15,8.555555,9.266666,7.375,7.882353,6.944445,8.523809,9.944445,9.9375,10.35714,8,7.4,7.888889,7.066667,9.125,8.9375,9.692307,9,8.714286,8,9.055555,9.65,11.1875,10.07692,7,9.066667,6.230769,7.625,6.733333,7.761905,10.32,10.95
roundabout-quick-right,9,26,26,26,26,0,4,7.769231,6.5625,8.238095,10.47619,10.94444,11.5,14,13.8125,9.272727,6.928571,7.647059,8.9,8.857142,7.363636,6.090909,9.285714,7.357143,6.5625,8.466666,9.095238,9.9,7.764706,7.095238,10.11765,12.15,10.625,9.647058,8,8.533334,11.25,9.5,8.470589,7.416667,6.947369,13.07143,8.454545,7,5.857143,8.75,7.777778,6.166667,8.625,9.294118,8.588235,9.315789,9.428572,11.54545,10.7619,12,12.17857,12.15385,14.08333,15.7,11.95455,10.41177,13.35714,8,7.863636,10.19048,10.69565,9.461538,11.04167,11.16,11.96154,11.54167,10.52,14.32143,14.65517,18.07143,13.62857,13.51429,15.25926,12.10714,11.44444,10.7037,13.03448,13.33333,12.17857,13.52,13.80952,16.15385,18.86364,12.47059,10.64706,12.05263,8.944445,9.565217,10.45,8.363636,11.73684,8.647058,12.45455,9.8125,8.413794
roundabout-quick-right,10,28,28,28,28,0,4.75,8.736842,10.04167,9.3,7.578948,11.21053,8.307693,7.619048,9.058824,9.666667,8.533334,8.666667,8.6,9.391304,10.44,10.38095,10.90476,15,11.89474,7,7.15,9.26087,10.7,8.761905,9.391304,9,10.72727,12.6,13.03448,14.03226,14.7931,16.75,14.41667,10.44444,10.42857,11.3913,9.173913,10.15,8.6,11.17391,14.04348,15.31579,12.71429,10.2,12.90476,13.26087,10.55556,10.14286,12.34783,9.666667,12.14286,6.941176,9.111111,11.77778,9.35,9.8,9.5625,7.285714,7.782609,10.05263,9.269231,9.206897,12.17857,10.6087,11.82353,10.23529,8.681818,7.090909,10.54167,11.47826,8.631579,8.56,10.44,13.125,12.64,11.58333,10.86364,13.72222,9.411765,9.904762,9.611111,10.35714,8.058824,8.684211,9.944445,9.7,10.17391,9.7,10.09091,9.461538,6.785714,9.75,7.153846,5.727273,8.142858
roundabout-quick-right,11,30,30,30,30,0,4.4,6.4,7.045455,11,10.57895,9.476191,8,9.923077,9.55,11.22222,14.18182,5.357143,6.947369,8.782609,11.40741,11.875,13,12.42308,10.68182,8.421053,9.12,10.61905,9.08,12.20833,12.76,10.36842,10.81818,8.608696,10.45833,10.68182,10,6.705883,6.842105,10.13043,10.04348,11.89474,8.294118,10.3125,9.421053,9.125,7.55,8.65,7.666667,10.13043,9.636364,10.0625,7.608696,10.72727,11,7.095238,10,8.652174,10.73913,10.79167,12.44,12.51852,11.96429,12.33333,10.15,9.269231,10.48,11,10.8,10.5,15.33333,11.08696,9.333333,10.35,10.56522,8.608696,10.04545,11.71429,12.47059,7.85,8.947369,10.30769,8.071428,8.071428,7.133333,8.105263,8.25,8.782609,10.77419,13.51852,13.5,13.85185,13.26667,12.30435,12.34783,9.407408,9.925926,10.16667,10.26667,12.47222,14.22581
roundabout-quick-right,12,32,32,32,32,0,5.5,5.882353,7.928571,9.615385,13.57895,15.03125,16.52,16.45833,8.263158,9.588235,9,10.38889,11.55,8.875,11.15385,8.685715,10.93333,11.22857,12.46875,14.75,11.92593,12.48,15,13.37037,12.39286,10.12903,11.84615,10.91667,10.72414,9.5,12.5641,12.57895,17.27778,14.14706,16.80952,16.33333,21,18.125,12.31034,11.0303,13.04,13.58333,15.2963,13.66667,12.44,10.88461,10.54545,10.7037,12.34615,10.12,12.25,11.53333,12.24138,14.52174,11.26316,9.416667,7.117647,8.363636,10.08696,11.5,11.25806,13.92,9.863636,9.882353,8.666667,9.538462,9.181818,11.68,13.18182,8.5,13.56,11.55556,11.2,12.65714,14.97059,15.13889,12.59375,13.775,13.46667,11.75,13.26471,13.33333,14.22222,15.67647,11.84,10.55556,10.95238,8.909091,10.1,7.6,8.411765,8.470589,11.58823,8.666667,4.92
roundabout-quick-right,13,34,34,34,34,0,4.375,7.105263,8.210526,9.647058,11.15,9.434783,13.34783,10.91177,11.83333,13.29412,15.77778,12.96429,10.13333,10.78788,11.07692,10.88,9.64,11.5,10,11.56,9.066667,9.961538,11.16129,15,17.71428,16.88,17.95238,13.21053,7.709677,9.939394,11.09375,12.68,11.29167,10.95238,8.555555,8.952381,9.294118,9.142858,7.333333,9.388889,6.157895,7.727273,8.84375,12.44444,11.74074,10.85185,12.13513,15.05,16.5102,19.74,20.625,22.70588,19.71698,21.6383,21.79245,20.98039,20.78261,18.33333,21.72549,20.29825,19.50794,18.84058,23.87302,25.28814,27.98039,30.2037,28.30909,29.69811,31.1875,33.23256,27.2549,24.18518,21.55769,25.41509,28.69231,30.10204,30.94118,29.46154,26.77586,32.23333,32.8,30.4918,30.37288,28.94828,32.24528,28.44643,27.55172,26.82143,24.05357,25.2963,25.90769,26.06061,27.86364,30.77465,28.44615
roundabout-quick-right,14,36,36,36,36,0,4.722222,7.285714,9.032258,11.53125,12.74286,15.02439,12.79545,15.48718,15.32353,15.65625,14.1875,15,14.69231,11.82143,10.32143,10.6,13.4,13.91667,13.5625,13.02381,14.04651,15.09524,19.25641,17.375,19.13043,20.17021,18.97917,18.52273,18.07018,18.2037,21.25455,23.72549,27.82051,24.23077,15.05556,16.12195,13.71795,12.18182,14.61539,14.19512,14.17778,18.26531,19.43103,21.10526,21.375,19.8,22.98387,23.24561,23.74545,25.87273,23.01563,26.21667,25.7541,23.08475,24.12281,23.58491,26.59184,28.7551,30.89583,31.77083,34.48077,31.56897,33.25,28.92727,29.25,30.76271,32.50877,32.7193,28.74242,29.22727,28.98485,29.25862,27.07018,29.26154,29.55738,34.14286,32.34328,34.78571,36.08955,36.43835,35.57971,36.13636,35.82813,34,35.32813,38.1017,40.875,43.33898,40.4127,40.92982,34.41379,28.7931,28.7931,29.63333,32.44262
