intersection,north,east,south,west,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950
adaptivelights,20,20,20,13,0,4.1,8.583333,11.64286,16.26316,19.57692,23.03125,27.74359,34.72093,39.26,37.57778,39.3913,35.68182,41.5,45.59524,45.65385,52,49.71831,43.28986,44.77612,51.7541,51.73214,50.78,49.09091,55.40678,59.78461,54.31818,51.29688,57.62069,48.96923,42.44262,44.98214,48.21539,53.87324,47.44776,47.51786,49.36207,48.42105,49.01961,50.18868,55.51724,59.03077,45.63334,44.33333,44.59615,49.25455,38.16,41.10417,46.77359,46.84615,38.34921,37.64912,41.21818,42.91228,41.65385,44.03704,48.98333,51.18571,42.13433,38.87302,38.56061,39.41539,38.21539,39.48571,46.53333,51.04762,50.1625,55.23288,60.45833,63.82895,64.88461,65.55556,59.49231,63.38462,53.67797,52.40678,55.16981,48.45098,47.59091,44.44898,46.75862,47.25352,45.30263,46.67143,50.65217,53.2029,42.1194,41.70422,49.18667,53.16667,49.40698,47.10811,45,52.58333,47.17391,47.6875
adaptivelights,20,20,20,16,0,5.666667,11.23077,13.44444,17.3,18.57143,21.54054,27.31818,32.86274,35.65079,36.27869,36.52542,41.05,42.25424,45.01613,51.25373,55.94595,60.55556,58.04546,55.27381,54.89286,62.95062,58.89655,57.89024,49.91026,54.30233,49.7,49.36047,52.5625,59.84615,54.89743,54.22535,60.94444,64.2875,59.84,53.6338,55.5082,66.85185,57.56,49.89362,52.77778,54.34921,39.79688,35.57143,45.88679,47.55556,41.20408,42.75,48.31818,54.5493,46.49254,45.60606,47.57627,53.44068,45.57895,44.33333,49.66667,54.43835,45.98551,46.66667,54.88136,52.84127,53.78125,49.26229,48.81967,52.53623,48.20833,52.48611,52.19178,52.76389,49.13044,51.10294,56,62.225,60.53333,56.78947,59.98684,60.05263,53.78667,49.34246,53.95062,61.16471,59.05063,55.38462,58.80882,55.83099,46.62121,48.27273,53.15068,59.38462,49.21519,48.97368,55.66197,60.08,54.01351,53.46053
adaptivelights,20,20,20,21,0,4,7.375,10.53846,14.75,21.27778,24.04,29.1,33.47222,38.73171,40.53846,40.33333,34.41861,34.56097,37.11628,43.02128,50.08,53.7963,49.16327,45.97727,44.88636,37.08511,39.56604,44.8983,49.48485,57.07246,47.45454,46.22581,48.69492,53.47059,44.25,49.16071,54,58.64706,52.82192,51.92754,56.39706,56.85294,54.07353,49.83582,47.98592,50.55,46.37805,41.9875,42.6,49.59211,45.1831,47.4,54.23188,56.35065,55.79487,51.15789,51.67567,58.38235,47.88889,49.22727,54.65278,58.34615,52.48649,52.85294,57.80328,60.17742,45.33929,48.69811,52.43333,55.84615,49.28125,48.52542,51,56.57447,45.07895,46.3913,52.14,53.22034,43.35849,40.66667,47.2653,45.11628,44.60976,44.5098,49.33333,50.69118,48.73529,46.20968,50.01639,51.30645,40.87097,43.03226,50.76923,56.09859,53.67143,49.09231,49.2459,47.93443,38.91935,45.70769
adaptivelights,20,20,20,30,0,4.888889,11.45455,10.41177,14.91304,22.04167,24.96667,28.94595,30.95833,36.29091,31.80357,37.8125,40,39.83333,41.36364,45,48.84483,53.64063,47.35294,43.875,50.83607,50.72059,44.72581,44.39286,51.01695,56.65625,46.59091,40.60606,49.01639,49.37288,48.02041,46.86441,49.89706,53.82895,47.72222,46.89394,47.9375,51.71698,46.03922,47.15517,47.59155,49.25,45.28767,41.78261,44.91177,50.5,44.61404,49.67241,52.43283,53.1,49.1039,48.35714,47.77027,54.31081,47.76389,45.80952,53.20968,60.52308,59.34375,57.03279,57.07018,48.54099,46.41509,51.66667,54.80392,56.52542,43.81034,39.72414,45.66667,41.44068,42.66071,50.20339,55.01538,60.62857,53.51515,53.87097,50.16393,53.70492,44.94231,45.51852,48.8871,54.8806,48.83051,41.65454,45.31579,50.77778,44.01887,49.77359,51.01587,51.92,46.93243,46.21739,54.74138,58.63158,47.53704,48.72727
adaptivelights,20,20,20,32,0,5.5,12.54545,13.125,15.52174,20.2,26.42857,29.4,35.31372,38.19355,38.18462,36.09524,43.83051,41.03448,37.71429,40.95313,46.52113,51.17722,48.53247,47.94595,52.71642,57.77049,52.2807,52,55.23188,60.30667,54.75325,50.31169,56.46154,61.67089,53.81013,49.16456,47.06097,54.03489,52.3494,50.18987,51.14474,56.78947,52.08823,52.25373,58.18056,63.19231,61.32,57.80769,62.90541,61.7027,57.40845,52.37097,53.29032,57.37681,46.47059,47.22388,51.16418,56.69118,53.27419,53.47368,56.04615,60.87324,51.625,50.35135,53.80556,62.88572,56.3,52.85714,44.68571,50.09091,49.40541,52.02532,58.67949,59.58228,60.7037,58.79012,62.8625,69.72619,68.23864,64.53658,64.11539,67.30556,55.25758,54.44444,58.68116,62.84211,59.01389,54.25,58.20968,63.93103,49.79365,50.69565,51.69512,53.87368,51.8587,48.72414,49.89412,57.3375,59.87342,62.78378
adaptivelights,20,20,20,36,0,4.3,7.416667,12.64706,13.86667,19.90625,27.13889,30.13043,35.15094,42.29824,38.6,39.88,48.20454,45.35897,44.83721,46.80392,53.07273,54.01538,48.33898,48.56604,51.1875,49.12245,45.15556,45.05357,48.65625,53.25352,51.21519,48.5,49.91549,51.30263,49.69737,50.22727,56,59.61039,54.20548,50.1875,53.23214,56.12727,47.43137,45.97917,50.14815,54.53333,49.96078,46.45833,44.4717,41.64286,39.30612,45.16327,47.27586,52.35938,44.76667,46.03637,55.02,51.59615,40.3617,44.72549,50.07143,53.17188,47.46429,41.58182,43.72727,51.81633,43.73333,45.91667,47.17241,50.86364,48.95454,44.28125,49.55738,55.75862,46.11111,50.92727,53.10938,57.25352,50.30435,46.79412,48.83333,52.66667,47.93507,43.1875,42.18421,46.11538,47.56579,49.32394,56.9697,56.02817,57.17544,61.51724,62.67164,68.66197,65.83334,64.55173,66.62,64.55102,42.68182,43.21429
adaptivelights,20,20,20,38,0,4.818182,8.733334,13,20.1875,23.36364,25.03226,28.94872,32.4375,33.75806,30.57627,34,37.89286,41.42593,46.33333,48.5283,53.1017,52.34328,46.44444,48.53226,52.80702,58.08772,46.42857,44.02174,48.21154,47.66129,37.69355,38.12281,44.18868,45.11538,34.35714,40.27778,47.85965,52.63492,46.03226,46.28814,55.62,54.7451,44.91304,44.55357,48.34375,51.42253,53.36232,49.09375,55.54237,59.21154,46.47917,46.24445,49.19231,46.16923,38.54412,44.23881,48.19697,55.01667,47.82692,51.375,50.8116,54.23077,49.73494,48.6282,55.74324,58.64384,49.52857,45.01587,48.10959,53.26923,48.02439,45.22973,51.65152,57,48.52632,48.57143,49.97333,56.4125,49.55844,45.28947,49.74286,57.44118,46.22727,48.26984,50.35135,55.04878,53.53659,53.05634,54.41539,55.67692,44.05455,44.06667,47.52174,53.10959,45.58108,42.72857,48.42857,57.98276,47.92453,49.35714
adaptivelights,20,20,20,39,0,4.833333,9.4,11.26667,14.45,19.28,26.76,28.9697,30.81395,37.125,36.80435,38.925,31.525,36.14634,38.85106,42.36364,47.57377,51.56522,50.38889,46.54167,49.96,56.84615,55.57831,55.09639,55.64935,54.12987,51.62687,49.875,51.86154,53.32857,46.06897,43.8,50.05882,51.6,47.85455,47.53061,42.5,44.89474,42,50.17647,49.46032,55.42647,55.49231,55.8125,51.70588,54.73771,52.68966,46.67857,49.57377,49.94595,50,49.69014,52.21622,57.425,57.325,53.1625,48.24051,51.37037,45.90541,45.24286,48.14286,49.9,48.36666,55.40984,60.04478,66.22535,62.26866,60.76667,67.98214,67.11111,57.96,49.08511,51.18182,52.32308,45.75806,39.60714,45.375,42.86666,41.47273,42.05797,45.8481,51.14943,45.62651,45.2439,49.06329,53.97647,49.12195,49.65714,52.36709,56.375,56.37209,52.87209,57.14458,65.03896,64.5,58.8875
adaptivelights,20,20,20,42,0,6,7.888889,10.1,16.27273,19.72414,22.55263,29,34.23529,42.07407,42.12727,43.70213,43.46511,47.21951,44.51282,47.08696,48.56364,50.2,43.04762,41.73684,39.67924,39.60378,36.06897,40.39344,45.01449,53.5493,46.08,46,53.12121,53.97143,45.19672,47.62903,54.43939,58.05405,50.34246,45.6087,50.26866,60.625,53.11864,49.85,54.65152,60.43662,52.33846,47.93221,48.94643,56.03571,44.8,49.73809,50.84,52.98276,42.17647,44.29167,42.9375,39.70213,40.30233,43.65957,47.35185,49.03125,52.53125,52.10714,52.07843,48.09259,37.36,38.63265,43.30357,48.06349,40.13462,35.40816,37.5,43.06383,42.83673,46.83929,50.375,53.52055,46.43548,41.71667,43.75862,51.60714,42.84906,41.12963,46.41667,49.55072,47.46377,45.54688,44.58621,46.35088,43.12069,46.80645,49.41667,53.775,49.79747,52.30137,57.14286,58.4127,50.75862,49.82759
adaptivelights,20,20,20,46,0,4.272727,7.25,8.823529,13.10526,14.31034,22,26.89744,29.11765,34.64407,31.06897,37.5,41.10714,41.28571,42.54546,47.16129,52.44118,59.13889,56.66197,46.5,45.87879,53.87097,41.50848,43.80328,46.36111,52.97403,49.28378,45.31507,47.01333,51.48649,48.35211,50.14706,55,59.07229,54.48235,53.7037,55.53947,58.13253,50.76829,48.85135,55.64865,59.07229,53.43023,52.84415,51.58974,56.2987,51.28767,46.83823,47.76829,52.47253,48.05747,46.19048,50.21687,56.54762,55.425,52.44872,56.98766,62.72414,58.39743,57.38356,62.35484,61.92188,50.69643,50.2,51.69231,55.65754,54.71642,61.81667,60.60345,61.22222,62.36923,65.47222,69.88461,71.375,67.60465,61.66667,62.43373,69.67073,65.29412,56.19767,52.89157,56.11494,56.1573,55.42046,61.04494,67.21978,70.46154,71.5618,67.44944,67.78824,59.11494,60,63.31765,68.38824,66.51807,52.71765
