date	5-5-10-10	5-5-20-10	5-5-30-10	5-5-40-10	5-5-50-10
0	0	0	0	0	0
1	1	0.5	1	1	1
2	2	1.5	2	2	2
3	3	2.5	1.5	3	2.25
4	4	3.5	2.5	2	2.6
5	5	3	3.5	2	2.571429
6	3	4	4.5	2.25	3.125
7	4	5	5.5	3.25	3.666667
8	5	6	6.5	4.25	4.2
9	6	7	5	3.5	4.727273
10	7	8	6	3.375	5.727273
11	8	9	7	4.375	6.727273
12	9	10	4.8	4.777778	7.083333
13	6.666667	6.666667	4.833333	5.777778	7
14	5.75	7.666667	4.375	5.875	6.833333
15	3	4	4.777778	6.875	6.583333
16	3.2	5	5.777778	7	7
17	4.2	6	6.777778	7.2	7.428571
18	4.333333	4	6.875	8.2	8
19	4.571429	5	7.875	9.2	9
20	3.571429	6	8.875	8.8	9.583333
21	4.571429	3.5	9.875	8.909091	10.58333
22	4.875	3.6	10.875	7.625	10.16667
23	5.875	3.285714	11.875	8.625	10.81818
24	6.111111	4.285714	9.142858	5.666667	11.5
25	7.111111	4.111111	8.285714	4.5	9.333333
26	7.5	4.181818	9.285714	4.714286	10.33333
27	8.5	4.75	9.666667	5	7.444445
28	9.5	4.5	10.66667	5.333333	8.444445
29	10.14286	5.5	11	4.888889	8.5
30	10.33333	5.25	10.5	5	8.777778
31	11.33333	6.25	6.5	5.333333	7.2
32	12.33333	6.214286	7.5	5.7	7.454545
33	13.4	6.733333	8.5	6.090909	6.909091
34	12	7.25	6.333333	5.818182	7.25
35	9	8.25	7.333333	6.818182	7.615385
36	5	8.866667	8.333333	6.454545	7.466667
37	6	9.866667	7.5	6.9	7.9375
38	7	9.25	8.5	7.9	7.866667
39	4.5	10.06667	9.5	8.090909	7.733333
40	5.5	10.57143	7	7.692307	7.357143
41	4.333333	11.57143	8	8.166667	7.8
42	4	12.08333	9	9.166667	6.583333
43	5	12.2	10	8	7.583333
44	6	13.2	11	9	6.923077
45	7	13.875	8	7.75	6.866667
46	8	14.71429	6	8.076923	6.866667
47	7.666667	16.4	2.666667	7.692307	7.375
48	8.666667	14.4	3.666667	8.692307	6.866667
49	7.5	12.83333	3.5	9	6.933333
50	8.5	11.2	3	9.384615	7.933333
51	9.5	6	3.428571	8.3	7.3125
52	7	7	4.428571	8.454545	7.8
53	8	4.5	3.571429	9.454545	8.8
54	4.666667	3.666667	4.571429	9.555555	9.1875
55	2	4.666667	5.571429	10.55556	9.0625
56	2	4.25	6.571429	11.55556	8.294118
57	3	5.25	7.571429	10.66667	9.0625
58	4	5	7.5	9.571428	8.875
59	3.75	6	7.555555	9.25	7.875
60	4.75	5.833333	7.142857	8.833333	8.133333
61	3.833333	6.833333	7.125	8.428572	8.066667
62	4.833333	6.714286	7.428571	6.714286	8
63	5	5.714286	6.571429	7.714286	7.733333
64	5.25	6.714286	5.571429	7.333333	8.1875
65	6.25	6.166667	5.333333	6.8	8.647058
66	7.25	7.166667	5.428571	6.5	9.111111
67	5.666667	7.2	6.428571	6	10.11111
68	6.666667	8.2	7.428571	5.833333	9.666667
69	6.9	8.25	8.428572	6.833333	9.411765
70	7.9	9.25	8.166667	5.666667	8.666667
71	8.222222	9.333333	7	5.714286	9.666667
72	8.3	10.33333	6.857143	5.875	9.375
73	7.5	8.5	6.833333	6.875	9.25
74	8.5	7.6	5.875	6	9.125
75	9.5	7.5	6.875	4.142857	10.125
76	8.625	7	7.142857	4.5	11.125
77	9.142858	2.333333	6.333333	4.888889	11.53333
78	9	3.333333	7.333333	5.888889	11.26667
79	10	2.6	7.125	5.444445	12.26667
80	9	3.6	6.125	5.8	12.4375
81	10	3.833333	7.125	5.5	12.0625
82	9.666667	4.833333	8.125	5.909091	12.29412
83	9	5	8	5.727273	12.55556
84	10	6	7.142857	6.166667	13.0625
85	9	7	8.142858	6.615385	13.23529
86	10	7.166667	8	7.615385	11.76471
87	11	7	7.125	7.461538	10
88	6	8	7.222222	7.857143	10.26667
89	1	9	7.375	7.785714	10.5625
90	2	7.714286	5	7.857143	10.3125
91	3	8.714286	6	8	10.86667
92	4	9.166667	5.833333	7.142857	8.230769
93	5	8.714286	5.125	6.928571	6.75
94	6	7.6	5	7.928571	7.181818
95	2.333333	8.6	5.25	7.8125	7.5
96	3.333333	9.6	6.25	7.9375	7.846154
97	2.6	10.6	6.444445	8.6	7.666667
98	3.6	9.75	7.444445	9.6	8.666667
99	4.6	8.6	7.6	9.4	8.6
100	5.6	6.2	8.6	10.21429	9.214286
101	5	7.2	8.727273	9.642858	8.666667
102	6	6.5	8.916667	9.642858	8.923077
103	7	7.5	8.333333	9	9.214286
104	8	8.5	7	9.090909	9.769231
105	9	7.666667	7.333333	9.8	9.307693
106	8	6.5	7.166667	8.714286	9.571428
107	9	6	7	9.714286	9.357142
108	7.142857	5.833333	6.75	9.375	8.307693
109	8.142858	5.857143	7.75	7.571429	7.769231
110	6	5.166667	8.75	6.571429	8.769231
111	7	6.166667	8.545455	7.571429	9.071428
112	8	5.375	8.333333	8.571428	9.4
113	7.714286	5.666667	8.4	8.375	8.666667
114	7.333333	5.75	6.4	8.571428	8.611111
115	8.333333	6	6.727273	8.375	9.105263
116	7	5.727273	7.1	9.375	9.105263
117	5.714286	6.727273	7.363636	8.714286	8.052631
118	6.714286	7.727273	7.9	9.714286	8.388889
119	6.833333	8.727273	8.090909	9.375	7.352941
120	7.833333	8.6	9.090909	8	8.352942
121	8.833333	9.6	10.09091	6.625	8.411765
122	9.833333	10.6	9.636364	5.875	8.470589
123	10.83333	11.11111	8.818182	6.111111	8.944445
124	10.14286	12.11111	9.818182	6.125	9.421053
125	7.666667	11	8.909091	6.333333	9.9
126	8.666667	9.142858	8.555555	6.6	10.38095
127	5	10.14286	9.555555	6.333333	10.05
128	6	10.83333	9	6.636364	9.777778
129	7	10	9	7	10.77778
130	8	5.75	7.2	6.909091	11.41177
131	9	6.75	6.555555	7.909091	11.35294
132	8.75	6.2	7.555555	8.909091	10.64706
133	9.75	7.2	7.7	8.727273	11.64706
134	10.75	6.833333	7.444445	7.3	10.77778
135	11.75	6.714286	7	7.666667	11.77778
136	10.66667	5.666667	7.375	8.666667	11.61111
137	11.66667	6.666667	8.375	9	12
138	12.66667	6.6	8	10	12.27778
139	13.66667	7.6	9	10.28571	10.65
140	14	5.8	10	11.28571	11.26316
141	15	6.8	9.625	9	11.61111
142	16	7.8	7.555555	10	10.63158
143	17	7.75	8	9.777778	11.05
144	17	8.75	9	10.77778	11.57895
145	18	9.75	8.125	10.6	12.57895
146	19	10.75	9.125	10.55556	12.9
147	10	11.33333	9	9	13.25
148	1	12.33333	6.875	7.285714	14.25
149	1	13.33333	6.142857	8.285714	15.25
150	2	12.5	6.25	8.125	13
151	3	3.666667	5.8	6.875	14
152	4	4.666667	5.666667	7.875	14.35
153	5	1.333333	6.666667	8.875	13.95455
154	6	1.75	6.636364	8.428572	13.5
155	7	2.75	6.363636	8.666667	14.5
156	5.333333	3.75	6.75	8.6	14.13636
157	4.75	3.8	6.5	9.6	15
158	5.75	4.8	7.5	8.333333	15.27273
159	6.75	5.8	8.5	7	15.52381
160	6	6.8	9	8	15.9
161	7	7.8	10	9	16.09524
162	3.666667	8.8	9.666667	8	16.95
163	2.8	8.166667	10.66667	7.5	17.95
164	3.166667	8.4	9.777778	8.5	18.25
165	4.166667	6.6	10.375	7.6	17.5
166	5.166667	6.25	10.11111	7.166667	17.76191
167	6.166667	7.25	8.3	8.166667	18.09524
168	7.166667	8.25	9.3	7.857143	18.22727
169	7	9.25	10.3	7.75	17.625
170	6	10.25	10.27273	7.777778	17.88
171	7	11.25	8.9	7.9	18.125
172	5.857143	11.33333	6.555555	6.7	16.92
173	6.857143	9	7.555555	7	16.59259
174	7.857143	10	8.555555	7.333333	14.84615
175	8.166667	7.333333	6	8.333333	15.25926
176	9.166667	6	6.222222	7.363636	15.46154
177	8.25	7	5.2	6	15.11539
178	9.25	8	5.636364	5.923077	16.24
179	8.2	6	6.083333	6.333333	15.92
180	9.2	3	7.083333	6.769231	16.25
181	8.5	2.666667	7.545455	7.769231	15.92308
182	7.125	3.666667	8.545455	8.769231	15.48
183	8.125	4.666667	9.2	9.769231	16.48
184	8.111111	4.25	9.444445	8.714286	16.24
185	6.857143	5.25	8.857142	9.384615	16.5
186	7.857143	5	8.625	10.38461	16.86957
187	6.428571	6	8.714286	11.38461	17.125
188	7.428571	5.833333	8.5	11.5	18.125
189	8.428572	6.833333	9.5	11.66667	18.36
190	9.428572	6.4	8.875	11.46667	18.83333
191	9.125	6.166667	6.857143	10.375	18.13043
192	9.714286	7.166667	6.875	10.35714	18.34783
193	9.375	8.166667	7.875	9.9375	19.34783
194	10.375	9.166667	6.111111	10.33333	18.91304
195	11.375	8.714286	4.285714	8.538462	17.85
196	12.375	8.833333	4.625	8.833333	18.66667
197	13.375	9.2	4.5	8.75	18.88235
198	14.42857	10.2	5.5	9	18.77778
199	12.2	10.75	6.5	8.25	17.8
200	11.75	9.4	6.818182	9.25	17.90476
201	9.25	7.8	7.1	9.272727	18.4
202	10.25	7.333333	6.7	10.27273	18.89474
203	11.25	7.142857	7	11	18.10526
204	12.25	8.142858	8	9.666667	17.17647
205	10.6	8.333333	7	10.66667	18.5
206	10.75	9.333333	7.333333	11.5	18.6
207	11.75	10.33333	8.333333	10.375	18.64286
208	10.2	11.33333	8.75	8	19.64286
209	11.2	9.25	8.666667	9	18.0625
210	12.2	10.25	7.4	9.5	16.92857
211	9.6	10	7	8.6	15
212	8.833333	11	8	8	13.45455
213	5.6	12	7.1	6	13.25
214	5.5	9.857142	6.75	5.25	12
215	6.5	8.714286	6.666667	5.555555	11.36364
216	6	8.5	7.076923	5.9	12.36364
217	7	9.5	6.285714	5.6	12.8
218	8	9.714286	7.285714	5.5	12.66667
219	7.75	8.428572	7.733333	6	13.66667
220	8.75	8.25	8.733334	5.307693	13.2
221	9.75	9.25	9.125	5.857143	11.27273
222	10.75	9.857142	10.125	6.857143	11.09091
223	9.4	10.85714	11	7.333333	11.08333
224	10.4	11.85714	12	7.266667	11.15385
225	10	10	13	7.75	12.15385
226	7.5	10.2	13	8.75	8.916667
227	4	9.333333	12.78571	8.8125	7.666667
228	2.5	7.5	13.78571	8.133333	7.083333
229	3.5	8.5	14.76923	8.5625	8.083333
230	3	9.5	15.90909	9	7.785714
231	4	5.4	16.5	9.266666	8.785714
232	5	5.333333	15.90909	10.26667	9.785714
233	6	6.333333	15.63636	10.78571	10.78571
234	7	5.5	13.81818	11.53846	11
235	6	6.5	13.58333	12	11.85714
236	7	6.142857	14.58333	10.3	10.30769
237	8	7.142857	10.58333	11.3	9
238	7	8.142858	11.58333	11	9.090909
239	4.8	9.142858	11.45455	10.33333	9.4
240	5.8	10.14286	10.53846	9.222222	10.4
241	6.8	11.14286	11.25	9.2	9.7
242	6.25	12.14286	11.30769	9.272727	9.727273
243	4.142857	13.14286	12.30769	8.454545	9.833333
244	5.142857	14.33333	12.08333	7.25	9.9
245	4.666667	11.16667	12	7.615385	7.909091
246	5.666667	12.16667	11.91667	8.615385	7.454545
247	6.666667	13.16667	8.454545	7.923077	8
248	7.666667	11.83333	7.7	8.923077	4.8
249	8.666667	7.6	7.3	8.6	5
250	8.6	6	7.545455	9.6	5.4
251	9.6	5.6	8.545455	9.714286	4.636364
252	10	6.6	7.125	10.71429	5.166667
253	10	4.75	5.571429	10.5	6.166667
254	11	5.75	5.75	9.384615	6.615385
255	12	5.4	5.857143	10.38461	7.071429
256	13	5.333333	6	11.08333	7.533333
257	7	5.428571	6.222222	11.15385	8
258	5.666667	5.625	7.222222	10.53333	8.533334
259	6.666667	6.625	8.222222	10.8125	8.411765
260	3	6.571429	7.545455	11.8125	8.666667
261	4	6.666667	7.9	11.75	9.0625
262	5	6.571429	8.9	12	9.470589
263	3	6.625	9.9	12.27778	9.294118
264	4	6.857143	10.22222	12.76471	8.8125
265	5	7.857143	11.22222	13.76471	8.75
266	6	8.857142	10.85714	14.76471	8.75
267	7	9.857142	10	12.46154	9.333333
268	8	10.85714	11	12.5	9.6875
269	9	11.66667	11.83333	12.53846	10.2
270	7	10.16667	9.333333	11.2	11
271	5.333333	9	10.33333	11.09091	10.85714
272	6.333333	8.333333	8.5	10.81818	10.375
273	7.333333	9.333333	7.833333	10.54545	11.06667
274	8.333333	10.33333	7.571429	10.6	12.06667
275	9.333333	8.25	7.5	8.285714	12.25
276	6	7.666667	8.5	7.6	11.47059
277	3.5	6	9.5	7.166667	11.52941
278	4.5	7	9	5.8	11.41177
279	5.5	8	10	5.666667	10.46667
280	6.5	9	9.625	6.666667	9.75
281	7.5	10	6.75	6.571429	9.555555
282	8.5	5.5	5.222222	7.571429	10.55556
283	9.5	6.5	6.222222	6.428571	10.61111
284	8	6	6.5	6.5	11.61111
285	9	5	6.818182	7.5	12.61111
286	10	4.8	6	7.555555	12.25
287	11	3.5	6.272727	7.7	12.21053
288	6	4.5	6.2	7.777778	11.31579
289	1	5.5	7.2	7.181818	12.31579
290	2	6.5	7.333333	8.181818	12.65
291	1.5	7.5	8.333333	8.416667	11.94118
292	2.5	8.5	9.333333	8.454545	12.94118
293	3.5	9.5	10.33333	9.454545	12.47059
294	3	8.4	9.777778	8.7	13.4375
295	4	8.5	9.7	8.818182	12.86667
