intersection,north,east,south,west,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
adaptivelights,10,10,10,10,0,4.6,7.142857,12.125,16.1,21.75,22.15789,17.68182,20.06667,29.54545,27.64706,32.94444,35.72727,28.05882,17.16667,22.5,28,30.3125,37.94118,30.26667,20.55556
adaptivelights,20,20,20,20,0,4.5,8.571428,14.25,19.91304,22.4,29.35294,31.25,24.16279,25.05405,31.03704,33.46875,37.39474,35.025,25.39394,24.48148,34.08333,36.65517,35.92308,30.19048,25.73684
adaptivelights,30,30,30,30,0,5.545455,7.571429,12,15.67647,20.47619,25.48,29.72881,23.69355,24.61905,27.04688,29.29412,34.12857,37.34146,34.98795,34.11628,30.82353,31.78409,37.05495,40.08911,42.26
adaptivelights,40,40,40,40,0,5.611111,8.8,13.0625,18.37838,21.85417,24.41538,27.88889,27.02353,25.71111,28.28723,31.30208,33.95192,38.98246,40.80357,40.23214,42.52727,45.04348,47.80992,51.81818,52.04445
adaptivelights,50,50,50,50,0,5.363636,8.966666,13.975,17.125,21.14706,24.06024,27.20755,28.94872,30.41221,32.31206,35.11806,38.98667,43.28823,43.55,46.32085,48.12755,52.27184,55.34863,59.77872,61.608
roundabout,10,10,10,10,0,7,6,3,6.5,7.285714,4.833333,9.083333,10.91667,10.85714,6,7.25,8.666667,6.5,9.75,5.714286,5.666667,5.666667,6.8,9.777778,6.75
roundabout,20,20,20,20,0,5,8.214286,7,9.842105,10.52632,11.63636,10.05882,10.47059,10.64286,9.666667,5.090909,7.583333,8.235294,8.461538,7.352941,8.076923,8.529411,11.2,11.13043,10.1875
roundabout,30,30,30,30,0,5.31579,9.95,7.85,11.05263,9.772727,10.23333,12.03333,12.33333,14.85714,15.21053,13.11111,15.07692,12.83333,10.54167,11.44828,11.08333,13.7027,14.71795,14.87097,15.33333
roundabout,40,40,40,40,0,4.631579,8.875,11.63415,13.67442,14.31818,17.97826,18.13953,19.75,19.51163,17.72549,17.67857,18.25,21.89286,22.4386,21.93651,21.72727,21.12857,20.44286,23.13514,23.87838
roundabout,50,50,50,50,0,4.65,6.657143,8.94,12.84746,16.87931,17.73529,19.1831,20.8961,21.70115,23.64894,26.4,24.91509,26.0885,28.36135,31.45968,33.0687,36.84733,38.81752,39.30497,40.26316
roundaboutquickright,10,10,10,10,0,5.333333,12.22222,12.625,18.25,16.23077,17.11765,24.11111,28.2,35.73684,39.47619,45.95454,53.63636,54.69231,57.86207,59.27273,67.72727,88.21429,91,92.42424,104.4063
roundaboutquickright,20,20,20,20,0,4.4,7.923077,10.5625,14.66667,16.12,23.95238,27.34783,32.76923,36.62069,39.18182,41.94737,45.52381,50.34783,55.69388,57.60714,64.12069,69.91666,81.17242,79.93939,87.55224
roundaboutquickright,30,30,30,30,0,6,8.65,9.652174,14.5,17.8,23,28.14634,33.17391,37.19231,42.25455,43.96923,51.58461,53.24,57.35366,60.81111,67.90323,70.17476,75.01818,77.31405,84.6371
roundaboutquickright,40,40,40,40,0,4.75,9.16129,12.7907,16.06522,19.91837,21.59322,26.84615,30.54286,34.74359,40.58333,45.03297,49.48485,56.82353,60.33929,62.944,68.11279,77.53788,78.86301,84.09804,91.51923
roundaboutquickright,50,50,50,50,0,5,8.633333,11.02632,14.33333,17.62712,21.1791,24.88571,30.13333,34.3625,36.7579,40.79048,45.12712,50.52344,54.24113,57.98709,60.78823,64.98907,70.12435,73.72857,77.77523
