intersection,run,north,east,south,west,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950
roundabout-quick-right,1,10,10,10,10,0,5.75,6.4,8.833333,6.444445,14.2,9.2,6.857143,6.555555,8.3,8.5,11.125,10,4.333333,5,6.909091,12.75,7.666667,10,8.5,6,2.6,7.833333,9,6.285714,9,7,4.333333,5.375,7.166667,8.666667,2.8,10,4.75,6,10.57143,10.75,4.625,9.5,8,3.25,5.571429,7,4.8,10.66667,7.75,8,7.8,5,8.5,6.428571,7.727273,7.428571,8.625,10.75,10.33333,4.428571,9.571428,8.222222,7,4.888889,9.636364,10.57143,6.142857,7.285714,8.75,8.375,9.571428,11.66667,4.5,8.4,6.833333,7.857143,5.4,5,10.75,9,4.2,5.714286,8.142858,7.4,9.727273,12.6,1.75,6.125,5.5,7.2,8.625,8,7.857143,9.6,7,11,18.5,4.25,6.2
roundabout-quick-right,2,14,14,14,14,0,7,7.25,8,8.636364,8.4,6.5,6.777778,7.166667,8.222222,6.181818,10.66667,8.5,7.727273,7.285714,8,11.57143,2.833333,7.142857,4.857143,4.555555,9.333333,5.75,7.222222,7,7.444445,7.6,7,8.636364,10.5,5.909091,7.5,12.33333,4.428571,5.666667,8,4.818182,10.66667,7.333333,8,6.75,3.857143,7,2.285714,6.909091,6.416667,11.15385,9.333333,9.5,6,7.153846,9.272727,10,7.714286,6.25,6.3,10.8,8.375,6.666667,9.9,9.142858,11,4.4,7.111111,9.818182,9.818182,7.25,9.75,5.333333,6.75,10.125,11.75,5.2,6.571429,5.571429,8.333333,6.8,4.4,7.111111,6.25,9.571428,4.75,8.2,8,6,4.5,6.833333,10.85714,8.25,6.5,6.923077,8.142858,11.11111,9.375,6.923077,8.454545
roundabout-quick-right,3,18,18,18,18,0,3.666667,9.545455,11,7.916667,9.181818,9.357142,8.4,9.277778,13.4,9.722222,10.1875,9.666667,7.769231,7,11.42857,7.818182,12.28571,7.142857,6.714286,11.46154,11.21429,11.5,9.5625,12.4,11.18182,7.7,7.846154,7.6875,8.2,9.266666,9.066667,9.636364,5.1,6.5,12.44444,7.25,6.75,11.3,6.5,6.666667,6.222222,7.384615,8.916667,7.538462,7.454545,8.0625,9,12.69231,8.333333,9.714286,11.11765,11.11111,12,10.08333,8.538462,9.125,6.75,10.14286,6.4,7.444445,6.230769,8.153846,9.666667,10.1,5.625,8.733334,11,6.777778,8.727273,6.111111,6.285714,6.111111,4.875,6.8,7.692307,7.588235,8.75,11.6,5.111111,7.769231,8.636364,9,5.7,8.666667,8.923077,7.818182,8.1875,9.8125,7.909091,7.444445,7.4,8.6,8.666667,6.1,7
roundabout-quick-right,4,22,22,22,22,0,3.222222,6.769231,9,10.38889,8.75,9.923077,8.454545,7.785714,7.521739,11.06667,9.1875,10.5,9.583333,7.769231,6.8125,7.8,9.947369,11.33333,10.70833,11.63636,8.56,9.086957,11.38095,10.53846,8.533334,7,6.888889,7.833333,8.5,11,5.083333,7.894737,9,13.75,10.07692,7.909091,8.833333,10,8.727273,8.909091,7.428571,6.583333,7.111111,9.8,7.7,7,5.4,7.272727,6.5,8.809524,12.95,13.86667,11.2,12,5.363636,5.666667,9.666667,5.5,7.4375,8.714286,11.7,8.272727,10.53846,6.625,8.933333,11.7,10.45455,4.666667,7,8.846154,7.857143,8,8,7.071429,10,11,9.307693,6.076923,9.333333,5.692307,10.66667,8.75,5.727273,8.866667,7.31579,11.18182,11.66667,7.714286,7.153846,6.769231,5.846154,7,7.416667,9.5,8
roundabout-quick-right,5,26,26,26,26,0,5.444445,7,9.4375,7.25,7.631579,10.0625,8.1875,8.066667,8.222222,10.375,8,7.375,8.6,10.52632,9.28,10.77273,11.78571,11.90476,8.7,8,9.913043,10.5,13,16.1,7.923077,6.4,7.933333,5.733333,7.666667,9.545455,8.266666,8.833333,8.181818,8.545455,11.75,9.333333,9.545455,7.3125,6.866667,9.7,9.333333,8,6.857143,9.214286,8.6875,6.166667,7.846154,7.75,10.70588,11.72727,5.545455,7.928571,6.052631,10.82353,10.3,9.647058,10.42857,12.22222,6,9.375,8.761905,7.571429,8.538462,6.785714,8.6875,10.36842,7.590909,12.32,13.4,10.94118,9.578947,7.933333,9.684211,9.56,13.57895,11.16667,9.545455,9.55,10.81818,11.28571,7.823529,7.043478,8.863636,9.576923,10.92308,9.478261,9.904762,9.4375,10,7.111111,10.76923,7.631579,7.88,9.4,8.55
roundabout-quick-right,6,30,30,30,30,0,5,9.285714,8.636364,9.678572,10.2963,8.964286,10.53846,11.76,11,11.4,14.22222,16.03704,13.58621,14.29167,13.25,12,10.55,12.11111,10.13636,11.75,9.095238,11.07143,8.882353,8.409091,9.608696,8.192307,11.4,11.96429,11.63636,12.95455,9.392858,10.86667,10.55,10,8.473684,10.35,11.68182,12.52,10.85714,10.6875,7.45,9.25,11.75862,11.59375,12.77778,17.14815,20.7,9.058824,9.8,7.318182,9.894737,9.95,11.4375,9.875,8.269231,9.923077,12.31579,9.058824,8.647058,8.16,9.516129,12.82759,12,15,12.29412,12.25,6.619048,9.052631,9.607142,11.14286,9,11.30769,11.59091,7.95,8.318182,9.619047,9.923077,10.04545,9.269231,10.7,11.7931,13.14286,15.17241,15.51724,13.90909,13,13.51724,13.02778,14.48387,17.625,17.07143,15.14286,17.72,16.43478,19.05556
roundabout-quick-right,7,34,34,34,34,0,5.466667,6.538462,8.83871,9,10.73529,11.24242,13.48571,16.96774,16.88461,10.9697,18.26667,14.33333,14.72727,14,17.17857,17.91176,18.8125,17.17857,13.08333,8.416667,10.16667,9.740741,11.66667,13.64286,9.56,9.88,10.72,11.85294,11.89286,13.84615,11.61765,14.2,16.65517,14.73529,12.57895,14.48571,15.86111,14.05882,13.09302,16.6875,19.22449,22.36735,21.97917,18.86047,20.27273,19.51351,19.80488,18.73809,19.65957,18.52,20.55102,19.56522,16.80435,19.65957,23.5,19.48571,19.58537,19.95455,19.27907,22.30769,19.36667,15.35484,14.23333,12.10714,10.25926,12.42857,12.83333,12.68571,12.42424,13.55263,14.96774,16.46154,11.90323,11.87879,13.75,15.25641,11.83784,13.66667,15.02273,18.26829,16.89474,16.1,18.69444,19.14634,21.5,21.275,21.28205,18.16667,16.84848,16.25926,11.73333,14.44118,16.48571,17.05,16.07692
roundabout-quick-right,8,38,38,38,38,0,5.071429,7.5,8.5,10.375,11.18421,12.27027,16.55263,17.05128,16.75,18.75,19.23529,19.57576,17.21053,18.21428,20.08696,19.86957,19.86957,19.13725,17.95833,18.18367,21.86792,20.12121,21.46269,20.85714,21.87342,23.85366,26.0125,28.3718,28.36111,30.38571,30.34783,28.43056,29.68,30.14667,32.89189,32.9863,27.45714,26.0303,26.32308,26.28358,22.63768,24.13043,22.39063,24.69355,24.22222,23.68852,24.33871,24.06452,23,23.9697,26.24324,25.17391,21.6,23.45714,26.82857,26.29167,25.84211,25.98667,29.06757,26.65333,24.4,25.25301,27.55952,27.88235,31.30488,30.42105,29.77922,30.675,29.64706,28.96512,30.77381,29.73256,32.82022,33.61956,37.16667,35.88889,37.69307,39.43011,39.10526,37.53846,37.6055,42.21698,43.58,42.10417,42.04041,42.375,44.06061,42.75758,43.81443,42.27,42.29703,44.42,44.83333,44,44.02128
roundabout-quick-right,9,42,42,42,42,0,3.769231,7.64,8.8125,10.46875,11.37931,10.96774,11.85294,12.59375,11.67647,12.74359,14.04762,14.62857,14.17647,15.20513,15.95918,16.9,19.77778,21.96923,23.18841,25.14063,25.77778,24,25.73438,25.29333,28.21918,25.48529,27.5,27.22667,28.66667,31.10256,30.2963,32.68235,32.47253,34.22472,39.44086,39.04167,40.09278,44.47368,42.33663,45.20561,47.0625,42.60714,46.7037,46.33945,45.50435,45.83333,48.75676,51.54867,55.2906,55.64516,52.21539,51.09023,53.76692,56.06923,56.02878,56.85106,57.3931,58.16084,60.81379,63.23333,67.09524,67.47097,66.25949,69.66013,68.84563,66.60135,69.11347,70.34286,70.47222,76.02084,77.07639,78.64626,79.74496,82.99342,84.52941,87.01987,87.6732,89.89542,92.11465,92.12122,90.13873,85.26437,81.9011,82.83069,85.2718,87.30102,90.7551,89.23037,90.17461,95.36216,95.83246,95.96392,92.66,90.85096,88.29768
roundabout-quick-right,10,46,46,46,46,0,5.31579,6.96875,9.875,12.5102,13.91228,18.44828,21.55172,25.14706,21.89394,22.15385,22.84058,23.32051,23.15068,23.7013,24.2125,25.92771,26.05814,25.74194,26.69697,28.12121,30.05155,31.14953,32.52778,31.34822,30.80357,30.75424,32.94262,33.92126,36.21014,39.33834,41.94776,43.10563,43.07433,44.57333,44.59355,44.75758,46.15698,48.12209,50.89674,53.02604,54.53368,55.09794,56.7766,59.15306,62,63.52195,63.34597,64.49767,65.12617,67.57009,68.14419,68.65297,68.5,69.66071,73.47577,73.99126,77.77093,79.92673,79.54202,78.6748,80.52032,81,79.50597,82.10317,84.112,85.33334,85.61303,85.95438,88.02231,88.81272,88.93333,91.49826,92.12759,92.09091,95.26667,95.8421,96.22951,98.23226,100.3407,100.2879,101.9299,102.6696,106.9582,109.2141,111.3673,113.2171,115.017,118.2571,120.3785,122.0351,123.7633,122.9048,124.0714,126.5798,127.5684
roundabout-quick-right,11,50,50,50,50,0,5.5,8.666667,10.3125,10.48718,10.6,13.14286,18.04651,15.67273,16.35938,17.15278,18.32558,21.33333,23.85849,25.42342,28.04237,29.9322,31.71654,33.85714,36.0458,35.08108,36.38356,37.6,40.51299,41.89542,42.93827,42.38691,42.74576,45.27933,45.00537,43.42051,44.91626,47.21905,50.46544,52.14798,53.55111,57.03098,57.94372,60.17722,61.99605,62.748,66.38956,69.82813,71.97719,75.36502,77.51865,79.3221,80.77143,82.53952,83.23746,84.11149,86.89562,87.76159,88.29299,90.48064,91,91.7943,91.72531,92.29129,95.92442,97.03714,100.8955,103.6289,106.3204,109.7623,110.8118,113.2091,114.0682,117.2073,119.5228,121.8441,124.6125,127.9802,128.0647,131.3805,133.9681,134.2441,136.9691,136.7183,138.7506,141.6028,143.5818,144.7851,146.0089,146.9313,150.5332,151.3946,152.8392,152.9097,153.6124,153.8891,153.2802,152.9941,156.7218,159.5241,159.9695
roundabout-quick-right,12,54,54,54,54,0,4.4,6.75,8.815789,10.52273,12.23529,14.19643,14.87302,16.05405,18.40909,20.56436,23.22807,26.78151,29.2439,32.58461,34.21898,36.49324,37.83851,39.16565,39.53529,40.37989,41.17021,42.27041,44.19901,46.38164,49.78404,52.46789,54.17181,57.21008,59.80972,62.74713,64.20599,67.16236,68.83032,71.55161,72.47241,74.66333,75.9393,77.28797,78.33642,82.49547,84.70796,86.75358,88.51233,90.5873,91.6266,94.1403,96.655,98.06342,100.7345,102.8695,104.7973,109.5202,114.2545,115.1057,119.4543,122.1221,124.7116,127.9749,131.3865,135.748,137.4201,142.1754,144.9332,147.7213,150.0896,153.4465,156.1066,160.4554,161.5797,163.4702,166.6382,170.2558,172.8774,176.8693,179.7274,181.2805,182.9814,184.2165,186.5294,187.7729,189.8891,191.9826,194.8448,199.522,200.6161,201.0774,205.455,206.6296,208.5355,211.4517,213.2297,216.0484,218.3488,221.2776,222.3069
roundabout-quick-right,13,58,58,58,58,0,4.545455,6.5625,10.47222,12.25,12.76,13.25,16.55172,18.39063,20.5,20.23077,21.95,23.63889,25.54386,26.91057,30.06767,31.60584,32.70068,34.09032,38.12346,41.80473,43.69767,47.04023,47.54857,49.24742,50.17241,50.92488,51.53182,53.25877,55.27004,56.69076,58.09266,60.18116,61.81469,64.40067,65.61039,67.73734,68.98154,71.84132,75.82249,80.15205,84.08455,86.91502,91.18414,94.38611,96.51498,98.72629,100.2116,101.8109,104.6608,107.8235,109.4296,112.4466,114.9057,117.7052,120.3002,120.3002,121.1949,122.944,122.2834,124.9759,126.9137,128.6012,132.2467,133.985,137.314,140.1397,141.6018,144.9626,149.03,152.2456,155.9759,157.397,161.0901,163.6404,167.9495,170.2122,172.6872,173.9275,175.9253,177.8064,180.4826,183.8711,186.6021,189.1875,193.4504,196.4908,199.4496,202.7038,204.7627,206.2439,207.0833,208.8011,209.9521,210.6751,215.073
